,speed,walking_bout,start,stop,nilspod_intervals,nilspod_lags
0,normal,0,14298,17589,"(14298, 17589)",-4482
1,normal,1,18710,22028,"(18710, 22028)",-4467
2,normal,2,23196,26608,"(23196, 26608)",-4455
3,normal,3,27731,31143,"(27731, 31143)",-4441
4,normal,4,32296,35696,"(32296, 35696)",-4427
5,normal,5,36774,40247,"(36774, 40247)",-4414
6,fast,0,6665,9265,"(6665, 9265)",-78467
7,fast,1,10729,13325,"(10729, 13325)",-78474
8,fast,2,14669,17293,"(14669, 17293)",-78481
9,fast,3,18364,21004,"(18364, 21004)",-78487
10,fast,4,22132,24811,"(22132, 24811)",-78494
11,fast,5,25824,28442,"(25824, 28442)",-78501
12,slow,0,6806,10761,"(6806, 10761)",-180795
13,slow,1,11894,15861,"(11894, 15861)",-180781
14,slow,2,17057,21233,"(17057, 21233)",-180765
15,slow,3,22503,26840,"(22503, 26840)",-180749
16,slow,4,27968,32151,"(27968, 32151)",-180733
17,slow,5,33427,37774,"(33427, 37774)",-180715
